Radius,Simulated,Theoretical,STDEV
1,0.000442922,0.000261782,
2,0.00216324,0.00190897,
3,0.00370205,0.00471771,
4,0.00823002,0.00865828,
5,0.0115314,0.013727,
6,0.0195388,0.019923,
7,0.0227934,0.0272459,
8,0.0373619,0.0356956,
9,0.0504412,0.0452721,
10,0.0533898,0.0559753,
11,0.068879,0.0678052,
12,0.0768636,0.0807618,
13,0.0910582,0.0948451,
14,0.0971324,0.110055,
15,0.123692,0.126392,
16,0.136977,0.143855,
17,0.142272,0.162445,
18,0.187376,0.182162,
19,0.208548,0.203005,
20,0.240949,0.224975,
21,0.222348,0.248072,
22,0.239787,0.272295,
23,0.285066,0.297645,
24,0.329019,0.324122,
25,0.377929,0.351725,
26,0.366879,0.380455,
27,0.3642,0.410312,
28,0.469486,0.441295,
29,0.450993,0.473405,
30,0.493759,0.506642,
31,0.559824,0.541005,
32,0.6107,0.576495,
33,0.514696,0.613112,
34,0.66703,0.650855,
35,0.647442,0.689725,
36,0.789824,0.729722,
37,0.773208,0.770845,
38,0.879535,0.813095,
39,0.807217,0.856472,
40,0.835033,0.900975,
41,0.843247,0.946605,
42,1.05701,0.993362,
43,1.07373,1.04125,
44,1.10685,1.09026,
45,1.03243,1.14039,
46,1.22931,1.19166,
47,1.30229,1.24405,
48,1.46576,1.29756,
49,1.43777,1.35221,
50,1.35272,1.40798,
51,1.56132,1.46487,
52,1.64534,1.5229,
53,1.51415,1.58205,
54,1.47213,1.64232,
55,1.85626,1.70373,
56,1.6688,1.76626,
57,1.94541,1.82991,
58,1.86902,1.8947,
59,1.87556,1.96061,
60,2.00966,2.02764,
61,2.09714,2.09581,
62,1.90438,2.1651,
63,2.00767,2.23551,
64,2.15739,2.30706,
65,2.41865,2.37973,
66,2.15968,2.45352,
67,2.38651,2.52845,
68,2.51253,2.6045,
69,2.73965,2.68167,
70,2.74792,2.75998,
71,2.90659,2.83941,
72,2.85552,2.91996,
73,3.06013,3.00165,
74,2.87285,3.08446,
75,3.0212,3.16839,
76,3.23104,3.25346,
77,3.27116,3.33965,
78,3.35435,3.42696,
79,3.36328,3.51541,
80,3.70648,3.60498,
81,3.5531,3.69567,
82,3.94473,3.7875,
83,3.86282,3.88045,
84,3.98107,3.97452,
85,4.26954,4.06973,
86,4.1414,4.16606,
87,4.48224,4.26351,
88,4.31976,4.3621,
89,5.23124,4.46181,
90,4.79189,4.56264,
91,4.31949,4.66461,
92,4.73688,4.7677,
93,5.187,4.87191,
94,4.67865,4.97726,
95,5.02595,5.08373,
96,4.80127,5.19132,
97,5.407,5.30005,
98,5.13494,5.4099,
99,5.33204,5.52087,
