Radius,Simulated,Theoretical
1,0.000584314,0.000261782
2,0.00232518,0.00190897
3,0.00439271,0.00471771
4,0.0104629,0.00865828
5,0.0157956,0.013727
6,0.0258479,0.019923
7,0.0275525,0.0272459
8,0.0420296,0.0356956
9,0.0600461,0.0452721
10,0.0665753,0.0559753
11,0.0762564,0.0678052
12,0.101986,0.0807618
13,0.130245,0.0948451
14,0.143805,0.110055
15,0.148778,0.126392
16,0.170255,0.143855
17,0.206796,0.162445
18,0.219297,0.182162
19,0.264243,0.203005
20,0.283086,0.224975
21,0.320359,0.248072
22,0.32036,0.272295
23,0.350385,0.297645
24,0.455308,0.324122
25,0.480181,0.351725
26,0.515279,0.380455
27,0.560459,0.410312
28,0.60443,0.441295
29,0.549552,0.473405
30,0.623788,0.506642
31,0.772852,0.541005
32,0.766648,0.576495
33,0.696359,0.613112
34,0.749808,0.650855
35,0.897706,0.689725
36,1.00555,0.729722
37,0.997525,0.770845
38,1.11934,0.813095
39,1.29548,0.856472
40,1.19854,0.900975
41,1.18083,0.946605
42,1.13582,0.993362
43,1.22625,1.04125
44,1.33286,1.09026
45,1.38605,1.14039
46,1.50047,1.19166
47,1.76333,1.24405
48,1.64064,1.29756
49,1.78639,1.35221
50,2.04774,1.40798
51,1.58688,1.46487
52,1.82445,1.5229
53,2.01144,1.58205
54,1.97531,1.64232
55,2.10221,1.70373
56,2.68681,1.76626
57,2.46057,1.82991
58,2.45895,1.8947
59,2.60297,1.96061
60,2.58797,2.02764
61,2.46276,2.09581
62,2.74191,2.1651
63,3.08024,2.23551
64,3.01084,2.30706
65,3.15961,2.37973
66,3.18946,2.45352
67,3.79597,2.52845
68,3.22731,2.6045
69,3.49514,2.68167
70,3.35586,2.75998
71,3.60197,2.83941
72,3.83375,2.91996
73,3.73387,3.00165
74,4.34741,3.08446
75,3.89115,3.16839
76,4.17245,3.25346
77,4.86077,3.33965
78,4.60733,3.42696
79,4.30216,3.51541
80,5.06039,3.60498
81,4.30558,3.69567
82,5.13713,3.7875
83,5.60558,3.88045
84,5.6423,3.97452
85,5.05201,4.06973
86,5.00887,4.16606
87,5.5862,4.26351
88,5.77464,4.3621
89,5.93566,4.46181
90,6.37181,4.56264
91,5.579,4.66461
92,6.07563,4.7677
93,6.82091,4.87191
94,5.9807,4.97726
95,6.28255,5.08373
96,6.92482,5.19132
97,6.88603,5.30005
98,6.74592,5.4099
99,7.73643,5.52087
100,7.55689,5.63298
101,8.13976,5.74621
102,8.2426,5.86056
103,8.53682,5.97605
104,7.62033,6.09266
105,7.80989,6.21039
106,7.78604,6.32926
107,7.48029,6.44925
108,7.46433,6.57036
109,9.0369,6.69261
110,8.99011,6.81598
111,9.91913,6.94047
112,9.00768,7.0661
113,8.67185,7.19285
114,9.43852,7.32072
115,10.0825,7.44973
116,10.0637,7.57986
117,8.82141,7.71111
118,10.0249,7.8435
119,10.6598,7.97701
120,9.76365,8.11164
121,11.1041,8.24741
122,9.2918,8.3843
123,10.7052,8.52232
124,9.63761,8.66146
125,11.3107,8.80173
126,11.8917,8.94313
127,11.4666,9.08565
128,11.0176,9.2293
129,12.1876,9.37408
130,11.5756,9.51998
131,12.4037,9.66701
132,12.6681,9.81517
133,12.6397,9.96445
134,12.5762,10.1149
135,13.5545,10.2664
136,14.5818,10.4191
137,14.4469,10.5728
138,13.5142,10.7278
139,13.4492,10.8838
140,14.6064,11.041
141,14.8251,11.1993
142,14.117,11.3587
143,14.7307,11.5192
144,14.5208,11.6809
145,14.933,11.8437
146,15.9647,12.0077
147,16.381,12.1727
148,15.8558,12.3389
149,15.488,12.5062
150,15.277,12.6746
151,16.8762,12.8442
152,17.3957,13.0149
153,19.5123,13.1867
154,16.0305,13.3597
155,17.5748,13.5337
156,18.8712,13.7089
157,18.0382,13.8853
158,17.6425,14.0627
159,19.2479,14.2413
160,18.1874,14.421
161,18.4357,14.6018
162,20.688,14.7838
163,18.8942,14.9669
164,21.9863,15.1511
165,21.5644,15.3364
166,21.0707,15.5229
167,20.2368,15.7105
168,19.8184,15.8992
169,19.9807,16.089
170,20.8306,16.28
171,19.2598,16.4721
172,21.0616,16.6653
173,22.0361,16.8597
174,22.4257,17.0551
175,19.9124,17.2517
176,23.2578,17.4495
177,22.2562,17.6483
178,20.3843,17.8483
179,22.4088,18.0494
180,23.0605,18.2516
181,21.3686,18.455
182,22.5267,18.6595
183,21.6258,18.8651
184,25.7461,19.0719
185,24.2387,19.2797
186,26.3284,19.4887
187,26.1872,19.6989
188,25.8703,19.9101
189,25.4324,20.1225
190,23.9518,20.336
191,25.8853,20.5506
192,26.5045,20.7664
193,25.5184,20.9833
194,27.7678,21.2013
195,27.8959,21.4204
196,28.1556,21.6407
197,29.8176,21.8621
198,27.8086,22.0846
199,24.5123,22.3082
