Radius,Simulated,Theoretical,STDEV
1,0.000465753,0.000261782,0.000293495
2,0.00216781,0.00190897,0.00175298
3,0.00331507,0.00471771,0.00222444
4,0.00827511,0.00865828,0.00766337
5,0.0111473,0.013727,0.00963907
6,0.0184372,0.019923,0.0154481
7,0.0225251,0.0272459,0.0209144
8,0.032621,0.0356956,0.0285026
9,0.0435445,0.0452721,0.0384677
10,0.0534589,0.0559753,0.043677
11,0.0650103,0.0678052,0.0530434
12,0.0795468,0.0807618,0.0590845
13,0.0914532,0.0948451,0.079971
14,0.099016,0.110055,0.0844163
15,0.12262,0.126392,0.102747
16,0.133707,0.143855,0.110667
17,0.156861,0.162445,0.130714
18,0.180345,0.182162,0.139571
19,0.184162,0.203005,0.154538
20,0.220715,0.224975,0.175529
21,0.246474,0.248072,0.209698
22,0.262671,0.272295,0.20281
23,0.281765,0.297645,0.221631
24,0.310635,0.324122,0.277255
25,0.349792,0.351725,0.29853
26,0.371882,0.380455,0.318101
27,0.394527,0.410312,0.334338
28,0.397616,0.441295,0.338296
29,0.449411,0.473405,0.36331
30,0.49525,0.506642,0.409206
31,0.496016,0.541005,0.361515
32,0.596711,0.576495,0.521923
33,0.632669,0.613112,0.533261
34,0.617303,0.650855,0.498714
35,0.668624,0.689725,0.560573
36,0.718517,0.729722,0.620838
37,0.766896,0.770845,0.584468
38,0.804669,0.813095,0.630168
39,0.862955,0.856472,0.718025
40,0.834586,0.900975,0.674951
41,0.988118,0.946605,0.819488
42,1.02407,0.993362,0.845425
43,0.986108,1.04125,0.824806
44,1.16553,1.09026,0.948588
45,1.16293,1.14039,1.02031
46,1.13681,1.19166,0.976078
47,1.28897,1.24405,1.15097
48,1.34191,1.29756,1.15965
49,1.34228,1.35221,1.16533
50,1.46475,1.40798,1.22904
51,1.56692,1.46487,1.22411
52,1.4732,1.5229,1.2583
53,1.64194,1.58205,1.2847
54,1.62162,1.64232,1.36044
55,1.6242,1.70373,1.41858
