Radius,Simulated,Theoretical,STDEV,Diff
1,0.000473744,0.000261782,0.000320853,0.000211962
2,0.0020274,0.00190897,0.00161842,0.00011843
3,0.00365525,0.00471771,0.00308219,0.00106246
4,0.0086347,0.00865828,0.00635126,2.358E-05
5,0.0112169,0.013727,0.00848817,0.0025101
6,0.0188995,0.019923,0.0164232,0.0010235
7,0.0223539,0.0272459,0.0192542,0.004892
8,0.0334772,0.0356956,0.0254334,0.0022184
9,0.0438311,0.0452721,0.0355302,0.001441
10,0.0501416,0.0559753,0.0435748,0.0058337
11,0.0637215,0.0678052,0.0528396,0.0040837
12,0.06821,0.0807618,0.0561598,0.0125518
13,0.0890297,0.0948451,0.0675873,0.0058154
14,0.10629,0.110055,0.0883349,0.003765
15,0.120167,0.126392,0.101095,0.006225
16,0.141153,0.143855,0.0979874,0.002702
17,0.152644,0.162445,0.12117,0.009801
18,0.203441,0.182162,0.195878,0.021279
19,0.186285,0.203005,0.155573,0.01672
20,0.207402,0.224975,0.17377,0.017573
21,0.234244,0.248072,0.204077,0.013828
22,0.223418,0.272295,0.176707,0.048877
23,0.303671,0.297645,0.255219,0.006026
24,0.341005,0.324122,0.273268,0.016883
25,0.343539,0.351725,0.276579,0.008186
26,0.397237,0.380455,0.324004,0.016782
27,0.400719,0.410312,0.346778,0.009593
28,0.383395,0.441295,0.326961,0.0579
29,0.501808,0.473405,0.413285,0.028403
30,0.471247,0.506642,0.39328,0.035395
31,0.55682,0.541005,0.471188,0.015815
32,0.542217,0.576495,0.467136,0.034278
33,0.542973,0.613112,0.43313,0.070139
34,0.642578,0.650855,0.536912,0.008277
35,0.603395,0.689725,0.479332,0.08633
36,0.738918,0.729722,0.574385,0.009196
37,0.690251,0.770845,0.506462,0.080594
38,0.727671,0.813095,0.65122,0.085424
39,0.827959,0.856472,0.737069,0.028513
40,0.903874,0.900975,0.733573,0.002899
41,1.03368,0.946605,0.825569,0.087075
42,0.930578,0.993362,0.769,0.062784
43,1.15843,1.04125,0.881739,0.11718
44,1.0598,1.09026,0.853875,0.03046
45,1.13969,1.14039,0.93828,0.0007
46,1.24576,1.19166,1.00204,0.0541
47,1.12069,1.24405,1.01405,0.12336
48,1.29988,1.29756,1.10321,0.00232
49,1.39613,1.35221,1.0663,0.04392
50,1.31461,1.40798,1.05724,0.09337
51,1.59429,1.46487,1.44686,0.12942
52,1.46109,1.5229,1.10182,0.06181
53,1.5146,1.58205,1.23361,0.06745
54,1.59635,1.64232,1.32025,0.04597
55,1.95324,1.70373,1.60824,0.24951
56,1.94075,1.76626,1.5293,0.17449
57,1.84997,1.82991,1.57831,0.02006
58,1.86314,1.8947,1.41432,0.03156
