Radius,Simulated,Theoretical
1,0.00046347,0.000261782
2,0.00192694,0.00190897
3,0.00375114,0.00471771
4,0.00894977,0.00865828
5,0.0112237,0.013727
6,0.0201598,0.019923
7,0.0221119,0.0272459
8,0.0295708,0.0356956
9,0.0438881,0.0452721
10,0.0472763,0.0559753
11,0.0617808,0.0678052
12,0.0789041,0.0807618
13,0.0976758,0.0948451
14,0.103813,0.110055
15,0.104064,0.126392
16,0.157304,0.143855
17,0.158094,0.162445
18,0.179429,0.182162
19,0.177027,0.203005
20,0.219612,0.224975
21,0.238795,0.248072
22,0.281148,0.272295
23,0.293747,0.297645
24,0.296331,0.324122
25,0.350785,0.351725
26,0.387737,0.380455
27,0.43934,0.410312
28,0.463596,0.441295
29,0.459868,0.473405
30,0.488425,0.506642
31,0.56461,0.541005
32,0.626491,0.576495
33,0.551372,0.613112
34,0.671301,0.650855
35,0.621986,0.689725
36,0.708368,0.729722
37,0.802235,0.770845
38,0.797132,0.813095
39,0.856578,0.856472
40,0.891922,0.900975
41,0.955639,0.946605
42,0.909208,0.993362
43,1.05674,1.04125
44,1.0658,1.09026
45,1.12095,1.14039
46,1.191,1.19166
47,1.34526,1.24405
48,1.2409,1.29756
49,1.27792,1.35221
50,1.48409,1.40798
51,1.31821,1.46487
52,1.40232,1.5229
53,1.60217,1.58205
54,1.70073,1.64232
55,1.76942,1.70373
56,1.60779,1.76626
57,1.95716,1.82991
58,1.78751,1.8947
59,1.85671,1.96061
60,1.88238,2.02764
61,2.08597,2.09581
62,2.11494,2.1651
63,2.45182,2.23551
64,2.4256,2.30706
65,2.44178,2.37973
66,2.42182,2.45352
67,2.62871,2.52845
68,2.61154,2.6045
69,2.68153,2.68167
70,2.62006,2.75998
71,2.87043,2.83941
72,2.95787,2.91996
73,2.95964,3.00165
74,3.04213,3.08446
75,3.19332,3.16839
76,3.13811,3.25346
77,3.47284,3.33965
78,3.72057,3.42696
79,3.38894,3.51541
80,3.40974,3.60498
81,3.73931,3.69567
82,3.54881,3.7875
83,4.16544,3.88045
84,3.92858,3.97452
85,3.68882,4.06973
86,4.83649,4.16606
87,4.3324,4.26351
88,4.35511,4.3621
89,4.95799,4.46181
90,4.91852,4.56264
91,4.58358,4.66461
92,5.05972,4.7677
93,4.96197,4.87191
94,4.78111,4.97726
95,6.01399,5.08373
96,5.403,5.19132
97,5.45412,5.30005
98,5.31683,5.4099
99,5.78926,5.52087
100,6.00889,5.63298
101,5.30962,5.74621
102,5.81483,5.86056
103,6.04572,5.97605
104,6.07447,6.09266
105,6.03422,6.21039
106,6.84572,6.32926
107,6.36968,6.44925
108,7.35156,6.57036
109,6.48541,6.69261
110,5.9485,6.81598
111,6.83918,6.94047
112,7.25991,7.0661
113,6.78543,7.19285
114,7.06497,7.32072
115,7.41384,7.44973
116,8.19678,7.57986
117,7.45103,7.71111
118,6.67486,7.8435
119,7.80278,7.97701
120,7.93219,8.11164
121,7.81397,8.24741
122,7.87735,8.3843
123,8.78146,8.52232
124,8.2753,8.66146
125,8.82355,8.80173
126,8.59833,8.94313
127,8.8354,9.08565
128,9.93724,9.2293
129,9.20092,9.37408
130,9.81065,9.51998
131,10.8596,9.66701
132,10.3919,9.81517
133,9.16126,9.96445
134,10.3354,10.1149
135,9.41834,10.2664
136,10.0449,10.4191
137,10.7418,10.5728
138,10.0713,10.7278
139,11.7311,10.8838
140,10.6141,11.041
141,10.8821,11.1993
142,9.85571,11.3587
143,12.5193,11.5192
144,11.3464,11.6809
145,10.304,11.8437
146,13.3985,12.0077
147,11.3143,12.1727
148,11.826,12.3389
149,12.8654,12.5062
150,13.3041,12.6746
151,13.2938,12.8442
152,12.9202,13.0149
153,11.8083,13.1867
154,12.5814,13.3597
155,13.7358,13.5337
156,12.7274,13.7089
157,13.4857,13.8853
158,13.7852,14.0627
159,14.0174,14.2413
160,14.4406,14.421
161,15.1228,14.6018
162,16.1275,14.7838
163,15.3753,14.9669
164,13.9819,15.1511
165,15.6753,15.3364
166,14.9913,15.5229
167,14.4323,15.7105
168,15.1365,15.8992
169,17.1726,16.089
170,17.538,16.28
171,16.5396,16.4721
172,17.3609,16.6653
173,17.4349,16.8597
174,16.319,17.0551
175,19.1426,17.2517
176,17.3634,17.4495
177,19.5961,17.6483
178,15.9429,17.8483
179,19.835,18.0494
180,18.517,18.2516
181,19.0646,18.455
182,19.036,18.6595
183,18.2787,18.8651
184,18.0758,19.0719
185,18.0695,19.2797
186,19.5195,19.4887
187,19.4933,19.6989
188,19.3068,19.9101
189,17.5749,20.1225
190,22.0531,20.336
191,20.9811,20.5506
192,19.5262,20.7664
193,19.2708,20.9833
194,20.2747,21.2013
195,20.3457,21.4204
196,22.158,21.6407
197,20.9065,21.8621
198,21.2744,22.0846
199,20.6247,22.3082
